M,i,k,perturb_target,eps,coeff_diff_norm,traj_diff_sup_norm,cond_number
5,1,2,1,0.1,1.4808453248213773,0.1574714619933918,9198.693746872246
5,1,2,1,0.01,0.14808453248209566,0.01574714619935058,9198.693746872246
5,1,2,1,0.001,0.014808453248420186,0.0015747146199451834,9198.693746872246
5,1,2,1,0.0001,0.0014808453248209446,0.0001574714620052875,9198.693746872246
5,3,2,3,0.1,0.24965610352612957,0.10235945446582351,32471.877144141665
5,3,2,3,0.01,0.02496561035262943,0.010235945446573913,32471.877144141665
5,3,2,3,0.001,0.0024965610352746847,0.001023594544650397,32471.877144141665
5,3,2,3,0.0001,0.0002496561035497709,0.00010235945446068762,32471.877144141665
5,3,2,3,1e-05,2.496561042281865e-05,1.0235945439696081e-05,32471.877144141665
5,3,2,3,1e-06,2.496561030281278e-06,1.0235945404613034e-06,32471.877144141665
5,5,2,4,0.1,2.2623220304144347,0.2352500537161364,185.8892626280144
5,5,2,4,0.01,0.2262322030417535,0.02352500537164559,185.8892626280144
5,5,2,4,0.001,0.022623220304466795,0.0023525005371947127,185.8892626280144
5,5,2,4,0.0001,0.0022623220307365745,0.0002352500537490254,185.8892626280144
6,1,2,1,0.1,0.6183012005809562,0.16667857303749276,12918.491306419111
6,1,2,1,0.01,0.061830120058130975,0.016667857303758943,12918.491306419111
6,1,2,1,0.001,0.006183012006012352,0.001666785730378345,12918.491306419111
6,1,2,1,0.0001,0.0006183012006483575,0.00016667857304319966,12918.491306419111
6,3,2,3,0.1,0.31928889491352336,0.10002934778350633,9811.026468809963
6,3,2,3,0.01,0.0319288894913186,0.010002934778352818,9811.026468809963
6,3,2,3,0.001,0.0031928889490512205,0.001000293477836589,9811.026468809963
6,3,2,3,0.0001,0.00031928889487121075,0.00010002934778455264,9811.026468809963
6,6,2,5,0.1,2.7338412490068995,0.17721732129559675,214.3540683773895
6,6,2,5,0.01,0.27338412490030906,0.017721732129570178,214.3540683773895
6,6,2,5,0.001,0.027338412489655142,0.0017721732129676315,214.3540683773895
6,6,2,5,0.0001,0.002733841248586474,0.000177217321307932,214.3540683773895
