trial,mask_pass_q,mask_pass_T,analytic_fd_q_max,analytic_fd_T_max
0,true,true,1.4839130063615258e-09,3.507625606635756e-09
1,true,true,5.423919228226364e-08,4.150080472821708e-08
2,true,true,8.449217026029743e-08,6.127364615693409e-08
3,true,true,2.4464906878129966e-07,9.5519019816652e-08
4,true,true,2.136338918533026e-08,2.5529146307492362e-08
5,true,true,3.110976032338897e-09,1.0701305952487417e-09
6,true,true,8.306096688226461e-08,1.1334853122768607e-07
7,true,true,1.4000671425961138e-08,6.1225245489278336e-09
8,true,true,8.981780132144568e-07,2.1287084261967237e-07
9,true,true,9.55899104315705e-09,4.8842359046119554e-09
10,true,true,7.1827753744813094e-09,7.401391721728601e-09
11,true,true,4.643436139718656e-07,1.8035969318042078e-07
