scheme,segment_idx,jacobian_type,nnz_total,nnz_theory_band,nnz_outside_band,max_abs_outside_band,mean_abs_outside_band
scheme_A,1,c_q,20,8,12,1.2523360002347772,0.30156179259277494
scheme_A,2,c_q,36,22,14,0.3205157260710578,0.14462863707521978
scheme_A,3,c_q,36,29,7,0.7674640848153239,0.32898255826854017
scheme_A,4,c_q,36,29,7,1.3170582951471665,0.5467572324578673
scheme_A,5,c_q,36,22,14,0.5927053907672786,0.2235422874238835
scheme_A,6,c_q,36,15,21,0.5064326800141572,0.15870526943786065
scheme_A,1,c_T,24,8,16,7.55055281587147,1.062838968772517
scheme_A,2,c_T,42,21,21,1.0431344944494825,0.36557081805587327
scheme_A,3,c_T,42,21,21,5.55979076962386,1.4543453382934242
scheme_A,4,c_T,42,21,21,3.9399708955945023,1.1880539933945926
scheme_A,5,c_T,42,21,21,2.3620809097568696,0.7457036278237424
scheme_A,6,c_T,42,14,28,2.163954894385256,0.594882276006188
