scheme,segment_idx,jacobian_type,nnz_total,nnz_theory_band,nnz_outside_band,max_abs_outside_band,mean_abs_outside_band
scheme_B,1,c_q,12,8,4,0.0740102965579581,0.0068564958063029495
scheme_B,2,c_q,26,22,4,0.8035167873288174,0.11558694659741242
scheme_B,3,c_q,33,29,4,5.4956867217015315,1.7509218888100975
scheme_B,4,c_q,36,29,7,0.9580186386415335,0.2913723655875028
scheme_B,5,c_q,29,22,7,8.842513764761861,1.4280377832534552
scheme_B,6,c_q,22,15,7,0.034396009623849366,0.0041186692840977646
scheme_B,1,c_T,12,8,4,1.5067570240390182,0.10555162111361427
scheme_B,2,c_T,25,21,4,4.315967700563306,0.41390508535391984
scheme_B,3,c_T,32,21,11,231.91919891019097,26.923136236427684
scheme_B,4,c_T,32,21,11,30.204414418477654,3.49223987271708
scheme_B,5,c_T,28,21,7,48.0275570566846,5.170864903140948
scheme_B,6,c_T,21,14,7,0.5256188621016733,0.048068313215215985
