trial,curve,scheme,success,slope,r2,final_global_l2,final_rel_cost_gap,final_matching_l2,elapsed_sec
0,ideal,,True,-2.5238771791987715,0.6550539584048407,6.325616115695296e-14,8.43769498715119e-15,nan,0.14141022018156946
0,A,A,True,2.071984694111266e-15,1.0,4.106493065064965e-12,4.707345624410664e-14,4.100873659984139e-12,0.14141022018156946
0,B,B,True,-0.1690799276712469,0.8753130205820859,22.506872059128874,2.7522711685396692,22.506872059128874,0.14141022018156946
0,C,C,True,-0.34994203025729964,0.9979623322694726,0.05201337352812153,0.00037227146633544983,0.052013373528140956,0.14141022018156946
1,ideal,,True,-2.226073432133297,0.6203241491410563,1.4572363398458584e-12,8.593126210598712e-14,nan,0.13630705489777029
1,A,A,True,2.071984694111266e-15,1.0,1.5581108022391038e-12,-5.617728504603292e-14,1.5642849939634945e-12,0.13630705489777029
1,B,B,True,-0.25853355843044856,0.8122364475257556,4.80231185248065,0.04166960472715586,4.8023118524806065,0.13630705489777029
1,C,C,True,-0.4403700709966815,0.976444456332853,0.07676695688843914,0.002888642221798632,0.07676695688777127,0.13630705489777029
2,ideal,,True,-2.410667482336504,0.6286662140158591,1.037130201809209e-13,2.6645352591003757e-15,nan,0.13474623602814972
2,A,A,True,4.143969388222532e-16,1.0,1.5989739809889624e-12,-1.0114131754335176e-13,1.60827186544753e-12,0.13474623602814972
2,B,B,True,-0.19731741744515005,0.8335931825610485,42.282012657221145,0.4540660576590021,42.282012657221145,0.13474623602814972
2,C,C,True,-0.36683569381027736,0.9991570712220468,0.139668647081629,-0.00647301434722336,0.13966864708165047,0.13474623602814972
3,ideal,,True,-2.1804680517880657,0.6047823409476003,8.84706541771922e-12,8.570921750106208e-14,nan,0.1352928220294416
3,A,A,True,1.2431908164667597e-15,-22.0,2.792938229431902e-11,-3.4861002973229915e-14,2.1429457689238918e-11,0.1352928220294416
3,B,B,True,-0.16497828522079272,0.890539666847404,157.1893062589661,0.18145024225584505,157.18930625896493,0.1352928220294416
3,C,C,True,-0.46032675732492606,0.9980511061094526,0.7215081544085479,-0.001390488259352285,0.7215081544122701,0.1352928220294416
4,ideal,,True,-2.4244495866223748,0.6070773173564941,3.48635918190609e-13,-6.8833827526759706e-15,nan,0.1350289590191096
4,A,A,True,0.0,1.0,1.2118317880393402e-11,-3.83026943495679e-14,1.205571995975351e-11,0.1350289590191096
4,B,B,True,-0.3529375857165914,0.9572352677603967,6.290733901607862,0.02137587902313909,6.290733901607861,0.1350289590191096
4,C,C,True,-0.43386278112370225,0.9765086107968804,0.36029690017221344,-0.0005842251169470014,0.3602969001722015,0.1350289590191096
5,ideal,,True,-2.3852059715715503,0.6125505130080771,1.9930069485945218e-13,-3.985700658404312e-14,nan,0.13515567895956337
5,A,A,True,-4.143969388222532e-16,1.0,1.6127833022894534e-12,-1.6986412276764895e-13,1.6176969703803184e-12,0.13515567895956337
5,B,B,True,-0.24013550062010658,0.917627109952209,16.284911112352166,0.22026018339241182,16.284911112352162,0.13515567895956337
5,C,C,True,-0.4264365366680857,0.9959465665943885,0.05113664665053914,0.0053879328636445845,0.05113664665052099,0.13515567895956337
6,ideal,,True,-2.3267559154213173,0.6181570787390405,8.43637130734476e-13,-6.905587213168474e-14,nan,0.13527481793425977
6,A,A,True,4.143969388222532e-16,1.0,5.155718703930098e-12,2.7977620220553945e-14,5.4955622956123095e-12,0.13527481793425977
6,B,B,True,-0.2861856308704366,0.8802091284007013,11.995213157352955,0.10160998951668132,11.99521315735298,0.13527481793425977
6,C,C,True,-0.40961728699631267,0.9989767929650112,0.1826292354182681,0.0018987481707126719,0.18262923541831336,0.13527481793425977
7,ideal,,True,-2.322064395366574,0.6417417388604498,3.626952821495778e-13,-5.10702591327572e-15,nan,0.13357949093915522
7,A,A,True,4.143969388222532e-16,1.0,7.446005384517957e-13,-2.9976021664879227e-15,7.093175903625943e-13,0.13357949093915522
7,B,B,True,-0.27281603590544756,0.6269505625825549,10.327876966228487,0.04047418296938354,10.327876966228478,0.13357949093915522
7,C,C,True,-0.43084130398582826,0.982925109833303,0.06782127133172021,0.0031539207779631706,0.06782127133173245,0.13357949093915522
8,ideal,,True,-2.1865132079913554,0.6046112671838787,4.761196278840124e-12,-3.1596947280831955e-13,nan,0.13423752109520137
8,A,A,True,0.0,1.0,2.958462752883653e-12,-2.2803980925800715e-13,5.7615542104049735e-12,0.13423752109520137
8,B,B,True,-0.21860524485046245,0.9573795096384348,29.769665948784557,0.12172293709363835,29.76966594878507,0.13423752109520137
8,C,C,True,-0.4021643235323798,0.9983605031475574,0.1873050743418315,0.00030049427601253065,0.18730507434062607,0.13423752109520137
9,ideal,,True,-2.5837758278439305,0.650814835131728,2.168389540813482e-14,7.993605777301127e-15,nan,0.13538471795618534
9,A,A,True,1.6575877552890128e-15,1.0,2.1264185463174413e-12,-5.841993555577574e-13,2.1264147849403465e-12,0.13538471795618534
9,B,B,True,-0.206918364321508,0.9636268092196485,17.218433923657155,0.7838698781253517,17.218433923657155,0.13538471795618534
9,C,C,True,-0.3663083359235812,0.9948744133444357,0.02987740162098779,0.002805003809753792,0.02987740162098669,0.13538471795618534
10,ideal,,True,-2.383341040748236,0.6665808654131533,4.186820253832229e-12,-1.6653345369377348e-15,nan,0.13779647392220795
10,A,A,True,4.143969388222532e-16,1.0,1.6906302663502033e-11,1.4876988529977098e-14,1.742916263907897e-11,0.13779647392220795
10,B,B,True,-0.20179646242665056,0.9082735670336619,241.17254618474536,0.09302628260621426,241.17254618474547,0.13779647392220795
10,C,C,True,-0.45608359375186747,0.9949154225560106,0.983566726218549,-0.0011690355122870866,0.9835667262179189,0.13779647392220795
11,ideal,,True,-2.338120865626363,0.6315572505394338,3.172318659698548e-13,2.731148640577885e-14,nan,0.1368066780269146
11,A,A,True,-4.143969388222532e-16,1.0,1.9843204432981023e-12,-9.869882688917642e-14,1.922502420401494e-12,0.1368066780269146
11,B,B,True,-0.2122069725092384,0.943286619121543,25.91957747729424,1.0422948875097235,25.919577477294236,0.1368066780269146
