curve,k,full_coef_error,full_matching_error,rel_cost_gap,lower_order_jump_max
C,2,23.156497072036743,20.285644021422744,-0.7673612616773362,40.75300754531138
C,4,13.44620934584934,12.784335052304618,-0.5463023034762002,26.72752901766245
C,6,7.1926410047026375,7.15264277847688,-0.2969786751501715,14.340426934236813
C,8,3.4693108847661556,3.4693108847660983,-0.14193013744195315,6.591919749542402
C1,2,483.6041183574453,483.8160470148975,29.048595932344124,4.766853578530572e-12
C1,4,289.42221482706015,289.44314760838,8.99892217625591,6.071587677070056e-12
C1,6,166.4387012388599,166.43733945742227,2.209316428820822,4.988010005035903e-12
C1,8,59.842785717778895,59.842785717778895,0.32309482695768543,6.014744258209248e-12
C2,2,408.0777088921096,408.30786209685203,23.798246868021515,3.5207392556912964e-12
C2,4,241.37612692233017,241.4049811736291,7.236251951208438,4.703792910731863e-12
C2,6,131.12117523871441,131.11954653367772,1.7146365696077064,5.978328943001543e-12
C2,8,49.89978076563609,49.89978076563609,0.254377539091714,4.731104397137642e-12
