regime,M,trial,k,segment_i,delta_scale,delta_response_l2,amplification_ratio
uniform_h=1.00,20,0,2,10,1e-06,2.7755575615628914e-16,2.775557561562891e-10
uniform_h=1.00,20,0,2,10,1e-05,2.7755575615628914e-16,2.775557561562891e-11
uniform_h=1.00,20,0,2,10,0.0001,5.551115123125783e-17,5.551115123125783e-13
uniform_h=1.00,20,0,2,10,0.001,5.551115123125783e-17,5.551115123125784e-14
uniform_h=1.00,20,0,4,10,1e-06,1.4280515070981112e-15,1.428051507098111e-09
uniform_h=1.00,20,0,4,10,1e-05,1.4280515070981112e-15,1.428051507098111e-10
uniform_h=1.00,20,0,4,10,0.0001,8.506090576286072e-16,8.506090576286071e-12
uniform_h=1.00,20,0,4,10,0.001,1.4280515070981112e-15,1.4280515070981112e-12
uniform_h=1.00,20,0,6,10,1e-06,0.0,0.0
uniform_h=1.00,20,0,6,10,1e-05,2.1858837451426604e-15,2.1858837451426602e-10
uniform_h=1.00,20,0,6,10,0.0001,2.1858837451426604e-15,2.1858837451426604e-11
uniform_h=1.00,20,0,6,10,0.001,0.0,0.0
uniform_h=1.00,20,0,8,10,1e-06,1.3062249837571737e-14,1.3062249837571738e-08
uniform_h=1.00,20,0,8,10,1e-05,8.351292490512103e-15,8.351292490512102e-10
uniform_h=1.00,20,0,8,10,0.0001,9.425993818089096e-15,9.425993818089095e-11
uniform_h=1.00,20,0,8,10,0.001,1.243575238931756e-14,1.2435752389317559e-11
uniform_h=1.00,20,0,10,10,1e-06,2.3960406461147698e-15,2.39604064611477e-09
uniform_h=1.00,20,0,10,10,1e-05,1.889215015009786e-15,1.8892150150097862e-10
uniform_h=1.00,20,0,10,10,0.0001,9.08995101411847e-16,9.089951014118469e-12
uniform_h=1.00,20,0,10,10,0.001,3.76822190084106e-15,3.76822190084106e-12
uniform_h=1.00,20,0,12,10,1e-06,2.0806155061057774e-15,2.080615506105777e-09
uniform_h=1.00,20,0,12,10,1e-05,3.1958203066994642e-15,3.195820306699464e-10
uniform_h=1.00,20,0,12,10,0.0001,2.4105941127559775e-15,2.4105941127559772e-11
uniform_h=1.00,20,0,12,10,0.001,2.3291955822438794e-15,2.329195582243879e-12
uniform_h=1.00,20,1,2,10,1e-06,1.3877787807814457e-17,1.3877787807814457e-11
uniform_h=1.00,20,1,2,10,1e-05,1.3877787807814457e-17,1.3877787807814455e-12
uniform_h=1.00,20,1,2,10,0.0001,4.163336342344337e-17,4.163336342344337e-13
uniform_h=1.00,20,1,2,10,0.001,4.163336342344337e-17,4.163336342344337e-14
uniform_h=1.00,20,1,4,10,1e-06,8.589271388634871e-17,8.589271388634871e-11
uniform_h=1.00,20,1,4,10,1e-05,7.980508694714999e-17,7.980508694715e-12
uniform_h=1.00,20,1,4,10,0.0001,3.188934878641089e-16,3.188934878641089e-12
uniform_h=1.00,20,1,4,10,0.001,4.403649657444979e-17,4.4036496574449787e-14
uniform_h=1.00,20,1,6,10,1e-06,1.2367962707304856e-15,1.2367962707304857e-09
uniform_h=1.00,20,1,6,10,1e-05,8.607747279815847e-16,8.607747279815847e-11
uniform_h=1.00,20,1,6,10,0.0001,5.11975649256e-16,5.11975649256e-12
uniform_h=1.00,20,1,6,10,0.001,7.26319553979972e-16,7.26319553979972e-13
uniform_h=1.00,20,1,8,10,1e-06,1.7455706156671473e-15,1.7455706156671474e-09
uniform_h=1.00,20,1,8,10,1e-05,1.4537479538375543e-15,1.4537479538375542e-10
uniform_h=1.00,20,1,8,10,0.0001,2.3366081291422927e-15,2.3366081291422928e-11
uniform_h=1.00,20,1,8,10,0.001,1.5137050336712894e-15,1.5137050336712895e-12
uniform_h=1.00,20,1,10,10,1e-06,1.626578709489374e-15,1.626578709489374e-09
uniform_h=1.00,20,1,10,10,1e-05,0.0,0.0
uniform_h=1.00,20,1,10,10,0.0001,3.330734577112608e-15,3.330734577112608e-11
uniform_h=1.00,20,1,10,10,0.001,6.729299812436171e-15,6.729299812436171e-12
uniform_h=1.00,20,1,12,10,1e-06,2.1047193404697057e-15,2.104719340469706e-09
uniform_h=1.00,20,1,12,10,1e-05,3.3657931729971627e-15,3.365793172997163e-10
uniform_h=1.00,20,1,12,10,0.0001,2.6332005284150082e-15,2.633200528415008e-11
uniform_h=1.00,20,1,12,10,0.001,5.18523239925344e-15,5.18523239925344e-12
uniform_h=1.00,20,2,2,10,1e-06,1.734723475976807e-17,1.7347234759768068e-11
