experiment_name,regime,M,trial,k,raw_to_ref_l2,ref_to_ideal_l2,gap_ratio
exp6_two_bridge_gap_compare,uniform_h=1.00,20,0,2,9.271225826070165e-15,7.677406353884371,7677406353884.371
exp6_two_bridge_gap_compare,uniform_h=1.00,20,0,4,1.9610986696794158e-14,3.369229921681897,3369229921681.897
exp6_two_bridge_gap_compare,uniform_h=1.00,20,0,6,4.174933077686417e-14,1.3726980281326995,1372698028132.6995
exp6_two_bridge_gap_compare,uniform_h=1.00,20,0,8,6.287010044656081e-14,0.5973142679296954,597314267929.6954
exp6_two_bridge_gap_compare,uniform_h=1.00,20,0,10,7.339188037552227e-14,0.27950680194676414,279506801946.76416
exp6_two_bridge_gap_compare,uniform_h=1.00,20,0,12,4.1168161602741954e-14,0.15163912586248393,151639125862.48395
exp6_two_bridge_gap_compare,uniform_h=1.00,20,1,2,1.7656023589343995e-15,6.397550680700224,6397550680700.225
exp6_two_bridge_gap_compare,uniform_h=1.00,20,1,4,8.42463189555778e-15,3.1756838533943705,3175683853394.3706
exp6_two_bridge_gap_compare,uniform_h=1.00,20,1,6,1.350591568300431e-14,1.6336129366550327,1633612936655.0327
exp6_two_bridge_gap_compare,uniform_h=1.00,20,1,8,1.8595142488809795e-14,0.8079016451247317,807901645124.7317
exp6_two_bridge_gap_compare,uniform_h=1.00,20,1,10,3.131348221166711e-14,0.41535660027680266,415356600276.8027
exp6_two_bridge_gap_compare,uniform_h=1.00,20,1,12,3.9057701604946805e-14,0.22423365838272108,224233658382.72107
exp6_two_bridge_gap_compare,uniform_h=1.00,20,2,2,6.723649505326505e-16,8.851274047411156,8851274047411.156
exp6_two_bridge_gap_compare,uniform_h=1.00,20,2,4,2.3443409545331154e-14,3.847245797934323,3847245797934.323
exp6_two_bridge_gap_compare,uniform_h=1.00,20,2,6,3.471601422019123e-14,1.6123142237427053,1612314223742.7053
exp6_two_bridge_gap_compare,uniform_h=1.00,20,2,8,2.7356359237214168e-14,0.7718706196072829,771870619607.2828
exp6_two_bridge_gap_compare,uniform_h=1.00,20,2,10,4.165345316365086e-14,0.3898900109899786,389890010989.97864
